compound_name,pubchem_cid,smiles,family,source,is_mida
CID_779,779,NC(CCO)C(=O)O,Organophosphates,classification_hnid_4400064,False
CID_824,824,CCCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False
CID_825,825,O=C(O)C1CC(O)CN1,Organophosphates,classification_hnid_4400064,False
CID_833,833,NC(=O)NCCCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False
CID_849,849,O=C(O)C1CCCCN1,Organophosphates,classification_hnid_4400064,False
CID_854,854,O=CC(O)C(O)C(O)CO,Organophosphates,classification_hnid_4400064,False
CID_9,9,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,Carbamates,classification_hnid_4400088,False
CID_59,59,O=C(O)C(CO)OP(=O)(O)O,Carbamates,classification_hnid_4400088,False
CID_96,96,CC(=O)CC(=O)O,Carbamates,classification_hnid_4400088,False
CID_106,106,NC(COP(=O)(O)O)C(=O)O,Carbamates,classification_hnid_4400088,False
CID_107,107,O=C(O)CCc1ccccc1,Carbamates,classification_hnid_4400088,False
CID_137,137,NCC(=O)CCC(=O)O,Carbamates,classification_hnid_4400088,False
CID_174,174,OCCO,Carbamates,classification_hnid_4400088,False
CID_175,175,CC(=O)[O-],Carbamates,classification_hnid_4400088,False
CID_176,176,CC(=O)O,Carbamates,classification_hnid_4400088,False
CID_177,177,CC=O,Carbamates,classification_hnid_4400088,False
CID_190,190,Nc1ncnc2nc[nH]c12,Carbamates,classification_hnid_4400088,False
CID_238,238,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Carbamates,classification_hnid_4400088,False
CID_264,264,CCCC(=O)O,Carbamates,classification_hnid_4400088,False
CID_275,275,NC(N)=NOCCC(N)C(=O)O,Carbamates,classification_hnid_4400088,False
CID_284,284,O=CO,Carbamates,classification_hnid_4400088,False
CID_307,307,O=CC=Cc1ccccc1,Carbamates,classification_hnid_4400088,False
CID_308,308,OCC=Cc1ccccc1,Carbamates,classification_hnid_4400088,False
CID_314,314,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,Carbamates,classification_hnid_4400088,False
CID_317,317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,Carbamates,classification_hnid_4400088,False
CID_322,322,O=C(O)C=Cc1ccc(O)cc1,Carbamates,classification_hnid_4400088,False
CID_346,346,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,Carbamates,classification_hnid_4400088,False
CID_363,363,NCC=O,Carbamates,classification_hnid_4400088,False
CID_402,402,S,Carbamates,classification_hnid_4400088,False
CID_421,421,O=C(O)CCCCC(S)CCS,Carbamates,classification_hnid_4400088,False
CID_423,423,CC(=O)CC(N)C(=O)O,Carbamates,classification_hnid_4400088,False
CID_449,449,CC(O)(CCO)CC(=O)O,Carbamates,classification_hnid_4400088,False
CID_460,460,COc1ccccc1O,Carbamates,classification_hnid_4400088,False
CID_464,464,O=C(O)CNC(=O)c1ccccc1,Carbamates,classification_hnid_4400088,False
CID_527,527,CCC=O,Carbamates,classification_hnid_4400088,False
CID_546,546,O=C(O)CP(=O)(O)O,Carbamates,classification_hnid_4400088,False
CID_586,586,CN(CC(=O)O)C(=N)N,Carbamates,classification_hnid_4400088,False
CID_588,588,CN1CC(=O)N=C1N,Carbamates,classification_hnid_4400088,False
CID_595,595,NC(CSSCC(N)C(=O)O)C(=O)O,Carbamates,classification_hnid_4400088,False
CID_596,596,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,Carbamates,classification_hnid_4400088,False
CID_3,3,O=C(O)C1=CC=CC(O)C1O,Triazines,classification_hnid_4400160,False
