compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_825,825,O=C(O)C1CC(O)CN1,Organophosphates,CHEMBL1213475,sqlite_smiles,ok,1,
CID_833,833,NC(=O)NCCCC(N)C(=O)O,Organophosphates,,,not_found,0,
CID_849,849,O=C(O)C1CCCCN1,Organophosphates,CHEMBL308408,sqlite_smiles,ok,1,PIPECOLIC ACID
CID_854,854,O=CC(O)C(O)C(O)CO,Organophosphates,,,not_found,0,
CID_9,9,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,Carbamates,CHEMBL281435,sqlite_smiles,ok,1,
CID_59,59,O=C(O)C(CO)OP(=O)(O)O,Carbamates,,,not_found,0,
CID_96,96,CC(=O)CC(=O)O,Carbamates,CHEMBL1230762,sqlite_smiles,ok,1,ACETOACETIC ACID
CID_106,106,NC(COP(=O)(O)O)C(=O)O,Carbamates,CHEMBL180002,sqlite_smiles,ok,1,
CID_107,107,O=C(O)CCc1ccccc1,Carbamates,CHEMBL851,sqlite_smiles,ok,1,PHENYL PROPIONIC ACID
CID_137,137,NCC(=O)CCC(=O)O,Carbamates,CHEMBL601,sqlite_smiles,ok,1,AMINOLEVULINIC ACID
CID_174,174,OCCO,Carbamates,CHEMBL457299,sqlite_smiles,ok,1,ETHYLENE GLYCOL
CID_175,175,CC(=O)[O-],Carbamates,,,not_found,0,
CID_176,176,CC(=O)O,Carbamates,CHEMBL539,sqlite_smiles,ok,1,ACETIC ACID
CID_177,177,CC=O,Carbamates,CHEMBL170365,sqlite_smiles,ok,1,ACETALDEHYDE
CID_190,190,Nc1ncnc2nc[nH]c12,Carbamates,,,not_found,0,
CID_238,238,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Carbamates,,,not_found,0,
CID_264,264,CCCC(=O)O,Carbamates,CHEMBL14227,sqlite_smiles,ok,1,BUTYRIC ACID
CID_275,275,NC(N)=NOCCC(N)C(=O)O,Carbamates,,,not_found,0,
CID_284,284,O=CO,Carbamates,CHEMBL116736,sqlite_smiles,ok,1,FORMIC ACID
