name,CID,SMILES,formula,source,family,SMILES_canonical
,378,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O,,classification_hnid_4400064,Organophosphates,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1
,392,C(CC(CC(=O)O)N)CN,,classification_hnid_4400064,Organophosphates,NCCCC(N)CC(=O)O
,424,C(C(C(=O)O)N)C(=O)O,,classification_hnid_4400064,Organophosphates,NC(CC(=O)O)C(=O)O
,470,C(CN)C(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NCCC(N)C(=O)O
,499,C1CC(=O)NC1C(=O)O,,classification_hnid_4400064,Organophosphates,O=C1CCC(C(=O)O)N1
,504,C1C(=O)NC=N1,,classification_hnid_4400064,Organophosphates,O=C1CN=CN1
,529,C(C(=O)O)OP(=O)(O)O,,classification_hnid_4400064,Organophosphates,O=C(O)COP(=O)(O)O
,564,C(CCC(=O)O)CCN,,classification_hnid_4400064,Organophosphates,NCCCCCC(=O)O
,594,C(C(C(=O)O)N)S,,classification_hnid_4400064,Organophosphates,NC(CS)C(=O)O
,602,CC(C(=O)O)N,,classification_hnid_4400064,Organophosphates,CC(N)C(=O)O
,611,C(CC(=O)O)C(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NC(CCC(=O)O)C(=O)O
,614,C1CC(NC1)C(=O)O,,classification_hnid_4400064,Organophosphates,O=C(O)C1CCCN1
,617,C(C(C(=O)O)N)O,,classification_hnid_4400064,Organophosphates,NC(CO)C(=O)O
,637,C1C(C(OC1N2C=CC(=NC2=O)N)CO)O,,classification_hnid_4400064,Organophosphates,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1
,640,C1C(C(OC1N2C=CC(=O)NC2=O)CO)O,,classification_hnid_4400064,Organophosphates,O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1
,655,CCOP(=S)(O)OCC,,classification_hnid_4400064,Organophosphates,CCOP(O)(=S)OCC
,660,C1CC(=O)OC2=CC=CC=C21,,classification_hnid_4400064,Organophosphates,O=C1CCc2ccccc2O1
,668,C(C(=O)COP(=O)(O)O)O,,classification_hnid_4400064,Organophosphates,O=C(CO)COP(=O)(O)O
,673,CN(C)CC(=O)O,,classification_hnid_4400064,Organophosphates,CN(C)CC(=O)O
,713,C(=O)N,,classification_hnid_4400064,Organophosphates,NC=O
,724,C(C(C(=O)O)O)OP(=O)(O)O,,classification_hnid_4400064,Organophosphates,O=C(O)C(O)COP(=O)(O)O
,729,C(C(C=O)O)OP(=O)(O)O,,classification_hnid_4400064,Organophosphates,O=CC(O)COP(=O)(O)O
,738,C(CC(=O)N)C(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NC(=O)CCC(N)C(=O)O
,745,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
,750,C(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NCC(=O)O
,773,C1=C(NC=N1)CC(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NC(Cc1cnc[nH]1)C(=O)O
,778,C(CS)C(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NC(CCS)C(=O)O
,779,C(CO)C(C(=O)O)N,,classification_hnid_4400064,Organophosphates,NC(CCO)C(=O)O
,824,CCCC(C(=O)O)N,,classification_hnid_4400064,Organophosphates,CCCC(N)C(=O)O
,825,C1C(CNC1C(=O)O)O,,classification_hnid_4400064,Organophosphates,O=C(O)C1CC(O)CN1
,833,C(CC(C(=O)O)N)CNC(=O)N,,classification_hnid_4400064,Organophosphates,NC(=O)NCCCC(N)C(=O)O
,849,C1CCNC(C1)C(=O)O,,classification_hnid_4400064,Organophosphates,O=C(O)C1CCCCN1
,854,C(C(C(C(C=O)O)O)O)O,,classification_hnid_4400064,Organophosphates,O=CC(O)C(O)C(O)CO
,9,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,,classification_hnid_4400088,Carbamates,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
,59,C(C(C(=O)O)OP(=O)(O)O)O,,classification_hnid_4400088,Carbamates,O=C(O)C(CO)OP(=O)(O)O
,96,CC(=O)CC(=O)O,,classification_hnid_4400088,Carbamates,CC(=O)CC(=O)O
,106,C(C(C(=O)O)N)OP(=O)(O)O,,classification_hnid_4400088,Carbamates,NC(COP(=O)(O)O)C(=O)O
,107,C1=CC=C(C=C1)CCC(=O)O,,classification_hnid_4400088,Carbamates,O=C(O)CCc1ccccc1
,137,C(CC(=O)O)C(=O)CN,,classification_hnid_4400088,Carbamates,NCC(=O)CCC(=O)O
,174,C(CO)O,,classification_hnid_4400088,Carbamates,OCCO
,175,CC(=O)[O-],,classification_hnid_4400088,Carbamates,CC(=O)[O-]
,176,CC(=O)O,,classification_hnid_4400088,Carbamates,CC(=O)O
,177,CC=O,,classification_hnid_4400088,Carbamates,CC=O
,190,C1=NC2=NC=NC(=C2N1)N,,classification_hnid_4400088,Carbamates,Nc1ncnc2nc[nH]c12
,238,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,,classification_hnid_4400088,Carbamates,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
,264,CCCC(=O)O,,classification_hnid_4400088,Carbamates,CCCC(=O)O
,275,C(CON=C(N)N)C(C(=O)O)N,,classification_hnid_4400088,Carbamates,NC(N)=NOCCC(N)C(=O)O
,284,C(=O)O,,classification_hnid_4400088,Carbamates,O=CO
,307,C1=CC=C(C=C1)C=CC=O,,classification_hnid_4400088,Carbamates,O=CC=Cc1ccccc1
,308,C1=CC=C(C=C1)C=CCO,,classification_hnid_4400088,Carbamates,OCC=Cc1ccccc1
,314,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,,classification_hnid_4400088,Carbamates,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1
,317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,,classification_hnid_4400088,Carbamates,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS
,322,C1=CC(=CC=C1C=CC(=O)O)O,,classification_hnid_4400088,Carbamates,O=C(O)C=Cc1ccc(O)cc1
,346,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,,classification_hnid_4400088,Carbamates,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O
,363,C(C=O)N,,classification_hnid_4400088,Carbamates,NCC=O
,402,S,,classification_hnid_4400088,Carbamates,S
,421,C(CCC(=O)O)CC(CCS)S,,classification_hnid_4400088,Carbamates,O=C(O)CCCCC(S)CCS
,423,CC(=O)CC(C(=O)O)N,,classification_hnid_4400088,Carbamates,CC(=O)CC(N)C(=O)O
,449,CC(CCO)(CC(=O)O)O,,classification_hnid_4400088,Carbamates,CC(O)(CCO)CC(=O)O
,460,COC1=CC=CC=C1O,,classification_hnid_4400088,Carbamates,COc1ccccc1O
,464,C1=CC=C(C=C1)C(=O)NCC(=O)O,,classification_hnid_4400088,Carbamates,O=C(O)CNC(=O)c1ccccc1
,527,CCC=O,,classification_hnid_4400088,Carbamates,CCC=O
,546,C(C(=O)O)P(=O)(O)O,,classification_hnid_4400088,Carbamates,O=C(O)CP(=O)(O)O
,586,CN(CC(=O)O)C(=N)N,,classification_hnid_4400088,Carbamates,CN(CC(=O)O)C(=N)N
,588,CN1CC(=O)N=C1N,,classification_hnid_4400088,Carbamates,CN1CC(=O)N=C1N
,595,C(C(C(=O)O)N)SSCC(C(=O)O)N,,classification_hnid_4400088,Carbamates,NC(CSSCC(N)C(=O)O)C(=O)O
,596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,,classification_hnid_4400088,Carbamates,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
,3,C1=CC(C(C(=C1)C(=O)O)O)O,,classification_hnid_4400160,Triazines,O=C(O)C1=CC=CC(O)C1O
,16,C1CCC(=O)NCCCCCC(=O)NCC1,,classification_hnid_4400160,Triazines,O=C1CCCCCNC(=O)CCCCCN1
,17,C1C=CC(=NC1C(=O)O)C(=O)O,,classification_hnid_4400160,Triazines,O=C(O)C1=NC(C(=O)O)CC=C1
,19,C1=CC(=C(C(=C1)O)O)C(=O)O,,classification_hnid_4400160,Triazines,O=C(O)c1cccc(O)c1O
,20,C1=CC(=C(C(=C1)O)O)CCC(=O)O,,classification_hnid_4400160,Triazines,O=C(O)CCc1cccc(O)c1O
,22,CC(=O)C(C)(C(=O)O)O,,classification_hnid_4400160,Triazines,CC(=O)C(C)(O)C(=O)O
,30,C(=CC=O)C=C(C(=O)O)N,,classification_hnid_4400160,Triazines,NC(=CC=CC=O)C(=O)O
,32,C(=CC(=O)O)C=C(C(=O)O)C(=O)O,,classification_hnid_4400160,Triazines,O=C(O)C=CC=C(C(=O)O)C(=O)O
,36,CC(C)C(C(C(=O)O)O)C(=O)O,,classification_hnid_4400160,Triazines,CC(C)C(C(=O)O)C(O)C(=O)O
,38,CC(C)(CO)C(=O)C(=O)O,,classification_hnid_4400160,Triazines,CC(C)(CO)C(=O)C(=O)O
,39,CC1(COC(=O)C1=O)C,,classification_hnid_4400160,Triazines,CC1(C)COC(=O)C1=O
