name,CID,SMILES,formula,source,family,SMILES_canonical
,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,,classification_hnid_4500088,Herbicides,Cn1c(=O)c2c(ncn2C)n(C)c1=O
,2537,CC1(C2CCC1(C(=O)C2)C)C,,classification_hnid_4500088,Herbicides,CC12CCC(CC1=O)C2(C)C
,2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,,classification_hnid_4500088,Herbicides,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
,2680,C1CC(CCC1CN)C(=O)OC2=CC=C(C=C2)CCC(=O)O,,classification_hnid_4500088,Herbicides,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1
,2780,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N,,classification_hnid_4500088,Herbicides,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,,classification_hnid_4500088,Herbicides,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
,3289,CCCSP(=O)(OCC)SCCC,,classification_hnid_4500088,Herbicides,CCCSP(=O)(OCC)SCCC
,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,,classification_hnid_4500088,Herbicides,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,,classification_hnid_4500088,Herbicides,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,classification_hnid_4500088,Herbicides,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
,4064,CCCC(C)(COC(=O)N)COC(=O)N,,classification_hnid_4500088,Herbicides,CCCC(C)(COC(N)=O)COC(N)=O
,4510,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],,classification_hnid_4500088,Herbicides,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
,4581,C1=CC(=CC=C1C(CN)O)O,,classification_hnid_4500088,Herbicides,NCC(O)c1ccc(O)cc1
,4610,C1CCC(C(C1)N)N,,classification_hnid_4500088,Herbicides,NC1CCCCC1N
,4756,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N,,classification_hnid_4500088,Herbicides,Nc1ccc(N=Nc2ccccc2)c(N)n1
,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,,classification_hnid_4500088,Herbicides,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
,4933,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,,classification_hnid_4500088,Herbicides,CCC(=O)Nc1ccc(Cl)c(Cl)c1
,4965,COC1=CC=C(C=C1)C(=O)CBr,,classification_hnid_4500088,Herbicides,COc1ccc(C(=O)CBr)cc1
