chembl_id,compound_name,family,smiles,n_activities_total,n_censored,mw_freebase,alogp,psa,hba,hbd,aromatic_rings,rtb,num_ro5_violations,heavy_atoms,cluster,cluster_label
CHEMBL539,CID_176,Carbamates,CC(=O)O,14,2,60.05,0.09,37.3,1,1,0,0,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL53929,CID_4581,Herbicides,NCC(O)c1ccc(O)cc1,24,21,153.18,0.38,66.48,3,3,1,2,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL54,CID_3559,Herbicides,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1449,309,375.87,4.43,40.54,3,1,2,6,0,26,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL545,CID_702,Pyrethroids,CCO,51,2,46.07,0.0,20.23,1,1,0,0,0,3,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL54943,CID_594,Organophosphates,NC(CS)C(=O)O,13,10,121.16,-0.67,63.32,3,3,0,2,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL560579,Propiconazole,Azole_fungicides,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,47,35,342.23,3.65,49.17,5,0,2,5,0,22,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL572964,CID_1118,Pyrethroids,O=S(=O)(O)O,32,6,98.08,-0.65,74.6,2,2,0,0,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL576,CID_1110,Pyrethroids,O=C(O)CCC(=O)O,91,44,118.09,-0.06,74.6,2,2,0,3,0,8,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL58343,CID_199,Triazines,NCCCCN=C(N)N,40,12,130.19,-1.0,90.42,2,3,0,4,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL596011,CID_364,Organophosphates,NCC(N)C(=O)O,4,1,104.11,-1.64,89.34,3,3,0,2,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL6,CID_3715,Herbicides,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1792,311,357.79,3.93,68.53,4,1,3,4,0,25,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL601,CID_137,Carbamates,NCC(=O)CCC(=O)O,111,77,131.13,-0.62,80.39,3,2,0,4,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL692,CID_753,Pyrethroids,OCC(O)CO,41,37,92.09,-1.67,60.69,3,3,0,2,0,6,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL71595,CID_784,Pyrethroids,OO,6,0,34.01,0.02,40.46,2,2,0,0,0,2,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL730,CID_4510,Herbicides,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],25,4,227.08,-1.02,157.11,9,0,0,8,0,15,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL74063,CID_1326,Pyrethroids,Cn1c(=O)c2ncn(C)c2n(C)c1=O,6,5,194.19,-1.03,61.82,6,0,2,0,0,14,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL74469,Paraquat,Herbicides,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,4,4,186.26,1.0,7.76,0,0,2,1,0,14,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL75967,CID_992,Pyrethroids,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,150,119,266.34,4.66,20.23,1,1,1,0,0,12,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL773,CID_750,Organophosphates,NCC(=O)O,88,41,75.07,-0.97,63.32,2,2,0,1,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL78,CID_596,Carbamates,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,1,0,243.22,-2.56,130.83,8,4,1,2,0,17,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL79041,CID_346,Carbamates,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,5,5,272.25,-1.43,119.61,7,5,1,3,0,19,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL851,CID_107,Carbamates,O=C(O)CCc1ccccc1,21,4,150.18,1.7,37.3,1,1,1,3,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL87788,CID_724,Organophosphates,O=C(O)C(O)COP(=O)(O)O,3,0,186.06,-1.46,124.29,4,4,0,4,0,11,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL89306,CID_660,Organophosphates,O=C1CCc2ccccc2O1,61,59,148.16,1.54,26.3,2,0,1,0,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL9113,CID_1140,Pyrethroids,Cc1ccccc1,19,4,92.14,2.0,0.0,0,0,1,0,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL91732,Aldicarb,Carbamates,CNC(=O)O/N=C/C(C)(C)SC,29,12,190.27,1.47,50.69,4,1,0,3,0,12,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL920,CID_305,Azole_fungicides,C[N+](C)(C)CCO,58,36,104.17,-0.32,20.23,1,1,0,2,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL95764,Glyphosate,Herbicides,O=C(O)CNCP(=O)(O)O,99,58,169.07,-1.2,106.86,3,4,0,4,0,10,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL96,CID_119,Organophosphates,NCCCC(=O)O,256,21,103.12,-0.19,63.32,2,2,0,3,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL979,CID_4064,Herbicides,CCCC(C)(COC(N)=O)COC(N)=O,87,72,218.25,0.98,104.64,4,2,0,6,0,15,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL985,CID_1176,Pyrethroids,NC(N)=O,21,7,60.06,-0.98,69.11,1,2,0,0,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
