split,n,r2_cv_mean,r2_cv_std,r2_folds,r2_ci95_low,r2_ci95_high
filas_KFold_CON_FUGA,3664,0.4467380899745992,0.05708417009226913,0.410381|0.383172|0.410350|0.502320|0.527467,0.3994851818993708,0.4986181828267761
filas_GroupKFold_HONESTO,3664,-0.5287118931140399,0.7690243400566016,-2.058473|-0.190652|-0.232370|-0.164362|0.002297,-1.3060863658618262,-0.08322629909079764
compuesto,94,-0.32857079347317303,0.2721600879281893,-0.857806|-0.217186|-0.079386|-0.272001|-0.216474,-0.6014159875211247,-0.14532678781261682
