chembl_id,compound_name,family,smiles,n_activities_total,n_censored,mw_freebase,alogp,psa,hba,hbd,aromatic_rings,rtb,num_ro5_violations,heavy_atoms,pchembl_median_binding,pchembl_std_binding,pchembl_iqr_binding,n_activities_binding,target_inestable,reliability_tier,pct_active,pct_active_note,mixed_endpoint_class,endpoint_types_seen,has_quantitative_potency,cluster
CHEMBL101,CID_4781,Herbicides,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,297,117,308.38,3.79,40.62,2,0,2,5,0,23,4.95,1.1283447754862648,1.1974999999999998,46,True,alto,0.108695652173913,derivado de pchembl >= 6 (no independiente),True,ED50|IC50|Inhibition|Ki|LD50|Potency,True,0
CHEMBL1046,CID_564,Organophosphates,NCCCCCC(=O)O,128,101,131.18,0.59,63.32,2,2,0,5,0,9,5.05,1.029283017158918,0.8199999999999994,17,True,alto,0.1764705882352941,derivado de pchembl >= 6 (no independiente),False,AC50|IC50|Inhibition|Kd|Ki|Potency,True,1
CHEMBL104943,CID_700,Pyrethroids,NCCO,16,11,61.08,-1.06,46.25,2,2,0,1,0,4,4.4,0.191702895126808,0.3499999999999996,5,False,medio,0.0,derivado de pchembl >= 6 (no independiente),False,Ki|Potency,True,1
CHEMBL113,CID_2519,Herbicides,Cn1c(=O)c2c(ncn2C)n(C)c1=O,306,141,194.19,-1.03,61.82,6,0,2,0,0,14,4.8,1.110125357091581,2.335,135,True,alto,0.0296296296296296,derivado de pchembl >= 6 (no independiente),False,AC50|EC50|IC50|Inhibition|Kd|Ki|Potency,True,1
CHEMBL1157,CID_196,Azole_fungicides,O=C(O)CCCCC(=O)O,18,5,146.14,0.72,74.6,2,2,0,5,0,10,6.39,1.635659179774611,1.5700000000000005,7,True,medio,0.5714285714285714,derivado de pchembl >= 6 (no independiente),False,IC50|Inhibition|Ki|Potency,True,1
CHEMBL1160571,CID_1023,Pyrethroids,O=P(O)(O)OP(=O)(O)O,22,5,177.97,-0.81,124.29,3,4,0,2,0,9,4.75,0.1401758349569652,0.0,17,False,alto,0.0,derivado de pchembl >= 6 (no independiente),False,IC50|Ki|Potency,True,0
CHEMBL1161632,CID_767,Pyrethroids,O=C(O)O,47,0,62.02,0.22,57.53,1,2,0,0,0,4,4.75,1.1147937589008858,0.0,47,True,alto,0.0,derivado de pchembl >= 6 (no independiente),False,Ki,True,1
CHEMBL1187,CID_1004,Pyrethroids,O=P(O)(O)O,12,5,97.99,-0.93,77.76,1,3,0,0,0,5,4.75,0.2456769074559978,0.0,7,False,medio,0.0,derivado de pchembl >= 6 (no independiente),False,Kd|Ki|Potency,True,1
CHEMBL11909,CID_191,Triazines,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,146,131,267.25,-1.98,139.54,9,4,2,2,0,19,4.9,0.5202719069321897,0.6500000000000004,15,False,alto,0.0,derivado de pchembl >= 6 (no independiente),False,EC50|Potency,True,0
CHEMBL1191361,CID_787,Pyrethroids,NO,15,9,33.03,-0.67,46.25,2,2,0,0,0,2,4.85,1.0963576058932598,0.4000000000000003,6,True,medio,0.1666666666666666,derivado de pchembl >= 6 (no independiente),False,IC50|Potency,True,1
CHEMBL12,CID_3016,Herbicides,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,570,142,284.75,3.15,32.67,2,0,2,1,0,20,7.82,1.1047324978433786,1.08,183,True,alto,0.8032786885245902,derivado de pchembl >= 6 (no independiente),True,AC50|EC50|ED50|IC50|Inhibition|Kd|Ki|LD50,True,1
