compuesto,cid,familia,smiles,tarea_critica,prob_max,alerta,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-AtAD5,SR-HSE,SR-MMP,SR-p53
CID_227,227,Organophosphates,Nc1ccccc1C(=O)O,NR-AhR,0.3092,BAJO,0.0362,0.0015,0.3092,0.0008,0.1262,0.0042,0.003,0.0532,0.0006,0.0445,0.0221,0.0002
CID_229,229,Organophosphates,OC1COC(O)C(O)C1O,NR-ER,0.1593,BAJO,0.0221,0.0012,0.002,0.0007,0.1593,0.0085,0.0055,0.0195,0.0003,0.0086,0.0035,0.0007
CID_232,232,Organophosphates,NC(N)=NCCCC(N)C(=O)O,NR-ER,0.2397,BAJO,0.1535,0.034,0.2015,0.0009,0.2397,0.0194,0.0007,0.1266,0.0007,0.0398,0.0163,0.0006
CID_236,236,Organophosphates,NC(=O)CC(N)C(=O)O,NR-ER,0.1747,BAJO,0.0179,0.0069,0.1097,0.0015,0.1747,0.0054,0.0,0.1058,0.0001,0.0092,0.0116,0.0001
CID_239,239,Organophosphates,NCCC(=O)O,NR-ER,0.1936,BAJO,0.0115,0.0047,0.0786,0.007,0.1936,0.0061,0.0001,0.1106,0.0001,0.0092,0.0173,0.0004
CID_255,255,Organophosphates,O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,SR-MMP,0.5106,MODERADO,0.0182,0.0262,0.4572,0.4091,0.5032,0.0759,0.0039,0.3976,0.0613,0.0417,0.5106,0.0415
CID_277,277,Organophosphates,NC(=O)O,NR-ER,0.188,BAJO,0.009,0.0003,0.0411,0.0002,0.188,0.0029,0.0,0.0473,0.0,0.0122,0.0026,0.0
CID_280,280,Organophosphates,O=C=O,SR-ARE,0.3142,BAJO,0.0008,0.0076,0.0246,0.109,0.1314,0.007,0.0021,0.3142,0.0066,0.0592,0.094,0.0398
CID_297,297,Organophosphates,C,NR-ER,0.1198,BAJO,0.0095,0.0001,0.0001,0.0001,0.1198,0.0001,0.0,0.0049,0.0,0.0005,0.0002,0.0
CID_313,313,Organophosphates,Cl,NR-ER,0.1835,BAJO,0.002,0.0007,0.0009,0.0009,0.1835,0.0003,0.0,0.0249,0.0,0.0033,0.0016,0.0
CID_335,335,Organophosphates,Cc1ccccc1O,NR-ER,0.2764,BAJO,0.0084,0.0024,0.0376,0.002,0.2764,0.0915,0.0012,0.0721,0.0002,0.0233,0.2535,0.0006
CID_364,364,Organophosphates,NCC(N)C(=O)O,NR-ER,0.16,BAJO,0.0293,0.0081,0.0991,0.0009,0.16,0.0053,0.0001,0.1127,0.0003,0.0071,0.0069,0.0001
CID_378,378,Organophosphates,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1,NR-ER,0.3659,BAJO,0.0106,0.0242,0.0429,0.0077,0.3659,0.1068,0.0038,0.2293,0.0241,0.0316,0.107,0.032
CID_392,392,Organophosphates,NCCCC(N)CC(=O)O,NR-ER,0.1971,BAJO,0.1129,0.1007,0.1557,0.0061,0.1971,0.0176,0.0017,0.1813,0.0019,0.0116,0.0354,0.0008
CID_424,424,Organophosphates,NC(CC(=O)O)C(=O)O,SR-ARE,0.2338,BAJO,0.0241,0.0172,0.0649,0.0043,0.2065,0.0202,0.0004,0.2338,0.0007,0.0083,0.0206,0.0006
CID_470,470,Organophosphates,NCCC(N)C(=O)O,NR-ER,0.1666,BAJO,0.0386,0.0119,0.1357,0.0016,0.1666,0.0064,0.0001,0.1026,0.0003,0.0071,0.0095,0.0002
CID_499,499,Organophosphates,O=C1CCC(C(=O)O)N1,NR-ER,0.2377,BAJO,0.0354,0.0027,0.0038,0.0001,0.2377,0.0041,0.0,0.0532,0.0,0.0018,0.0008,0.0
CID_504,504,Organophosphates,O=C1CN=CN1,NR-ER,0.1475,BAJO,0.0042,0.0007,0.0074,0.0004,0.1475,0.0003,0.0,0.0512,0.0,0.0135,0.0012,0.0
CID_529,529,Organophosphates,O=C(O)COP(=O)(O)O,NR-ER,0.2216,BAJO,0.018,0.004,0.0087,0.0004,0.2216,0.0332,0.0003,0.1168,0.0002,0.0095,0.0074,0.0028
CID_564,564,Organophosphates,NCCCCCC(=O)O,NR-ER,0.1984,BAJO,0.0223,0.002,0.1847,0.0103,0.1984,0.0269,0.003,0.1167,0.0013,0.0427,0.0291,0.0019
CID_594,594,Organophosphates,NC(CS)C(=O)O,SR-ARE,0.2241,BAJO,0.0073,0.0026,0.0966,0.0009,0.1261,0.0071,0.0005,0.2241,0.003,0.0135,0.0099,0.0028
CID_602,602,Organophosphates,CC(N)C(=O)O,NR-ER,0.2815,BAJO,0.1449,0.0169,0.0586,0.0005,0.2815,0.0147,0.0001,0.0685,0.0001,0.0046,0.005,0.0001
CID_611,611,Organophosphates,NC(CCC(=O)O)C(=O)O,NR-ER,0.227,BAJO,0.0262,0.0142,0.0904,0.0035,0.227,0.0196,0.0003,0.1682,0.0004,0.0075,0.0197,0.0004
CID_614,614,Organophosphates,O=C(O)C1CCCN1,NR-ER,0.1828,BAJO,0.034,0.0014,0.0025,0.0005,0.1828,0.0023,0.0001,0.0409,0.0,0.0009,0.0006,0.0001
CID_617,617,Organophosphates,NC(CO)C(=O)O,NR-ER,0.2431,BAJO,0.1349,0.0444,0.0593,0.0008,0.2431,0.0154,0.0001,0.1406,0.0002,0.0025,0.0074,0.0002
CID_637,637,Organophosphates,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,SR-p53,0.8828,ALTO,0.0064,0.0019,0.118,0.114,0.2624,0.026,0.0227,0.4407,0.0388,0.0998,0.0738,0.8828
CID_640,640,Organophosphates,O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,SR-p53,0.8933,ALTO,0.0306,0.034,0.0215,0.0524,0.2785,0.0784,0.0519,0.3513,0.0748,0.0929,0.0293,0.8933
CID_655,655,Organophosphates,CCOP(O)(=S)OCC,NR-ER,0.187,BAJO,0.0008,0.0006,0.0751,0.0082,0.187,0.0049,0.0003,0.0345,0.0002,0.0186,0.0072,0.0001
CID_660,660,Organophosphates,O=C1CCc2ccccc2O1,NR-PPAR-gamma,0.4303,MODERADO,0.0109,0.0024,0.0623,0.0092,0.1106,0.0057,0.4303,0.0811,0.0215,0.0482,0.0208,0.0112
CID_668,668,Organophosphates,O=C(CO)COP(=O)(O)O,NR-ER,0.1233,BAJO,0.004,0.0038,0.0035,0.0001,0.1233,0.0116,0.0005,0.1027,0.0006,0.0028,0.0023,0.0024
CID_673,673,Organophosphates,CN(C)CC(=O)O,NR-ER,0.3186,BAJO,0.2044,0.0149,0.005,0.0002,0.3186,0.0097,0.0,0.1317,0.0001,0.0008,0.0014,0.0
CID_713,713,Organophosphates,NC=O,NR-Aromatase,0.1774,BAJO,0.0028,0.001,0.1405,0.1774,0.172,0.0007,0.0,0.0966,0.0001,0.0122,0.055,0.0003
CID_724,724,Organophosphates,O=C(O)C(O)COP(=O)(O)O,NR-ER,0.2082,BAJO,0.0423,0.0198,0.0183,0.0004,0.2082,0.0365,0.0006,0.1592,0.0006,0.0033,0.0084,0.0013
CID_729,729,Organophosphates,O=CC(O)COP(=O)(O)O,NR-ER,0.2018,BAJO,0.0366,0.0275,0.0079,0.0003,0.2018,0.0444,0.0023,0.1427,0.002,0.0038,0.0073,0.003
CID_738,738,Organophosphates,NC(=O)CCC(N)C(=O)O,NR-ER,0.1719,BAJO,0.0145,0.0056,0.149,0.0012,0.1719,0.0051,0.0,0.0863,0.0001,0.0105,0.0122,0.0001
CID_745,745,Organophosphates,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,SR-ARE,0.4561,MODERADO,0.1818,0.1323,0.1729,0.0015,0.32,0.069,0.0013,0.4561,0.058,0.0385,0.024,0.0383
CID_750,750,Organophosphates,NCC(=O)O,NR-ER,0.1732,BAJO,0.0088,0.0019,0.0511,0.002,0.1732,0.0044,0.0001,0.1007,0.0001,0.0093,0.0083,0.0001
CID_773,773,Organophosphates,NC(Cc1cnc[nH]1)C(=O)O,NR-AhR,0.2091,BAJO,0.0263,0.0003,0.2091,0.0003,0.1499,0.001,0.0,0.0423,0.0,0.0103,0.0009,0.0
CID_778,778,Organophosphates,NC(CCS)C(=O)O,SR-ARE,0.1797,BAJO,0.009,0.003,0.0762,0.0009,0.1483,0.006,0.0005,0.1797,0.0029,0.0082,0.0087,0.0035
CID_779,779,Organophosphates,NC(CCO)C(=O)O,NR-ER,0.2638,BAJO,0.2165,0.0716,0.0742,0.001,0.2638,0.0183,0.0001,0.1368,0.0002,0.0033,0.0089,0.0002
CID_824,824,Organophosphates,CCCC(N)C(=O)O,NR-ER,0.2199,BAJO,0.0276,0.0026,0.1113,0.0006,0.2199,0.0095,0.0003,0.0474,0.0002,0.0089,0.0066,0.0
CID_825,825,Organophosphates,O=C(O)C1CC(O)CN1,NR-AR,0.5889,MODERADO,0.5889,0.1911,0.0142,0.0012,0.4317,0.0451,0.0001,0.1224,0.0003,0.0026,0.0028,0.0116
CID_833,833,Organophosphates,NC(=O)NCCCC(N)C(=O)O,NR-ER,0.3455,BAJO,0.2956,0.1717,0.1431,0.0013,0.3455,0.0398,0.0005,0.1713,0.001,0.0275,0.0221,0.0011
CID_849,849,Organophosphates,O=C(O)C1CCCCN1,NR-ER,0.12,BAJO,0.0051,0.0,0.0115,0.0009,0.12,0.0021,0.0001,0.0245,0.0,0.0139,0.0035,0.0001
CID_854,854,Organophosphates,O=CC(O)C(O)C(O)CO,NR-ER,0.1894,BAJO,0.0123,0.0089,0.0107,0.0001,0.1894,0.0228,0.0032,0.1665,0.0007,0.0007,0.0063,0.0004
CID_9,9,Carbamates,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,NR-ER,0.2209,BAJO,0.0156,0.0014,0.005,0.0001,0.2209,0.0199,0.0002,0.0304,0.0001,0.006,0.0041,0.0017
CID_59,59,Carbamates,O=C(O)C(CO)OP(=O)(O)O,NR-ER,0.2149,BAJO,0.068,0.0369,0.0154,0.0005,0.2149,0.0349,0.0005,0.1925,0.0007,0.003,0.0078,0.0015
CID_96,96,Carbamates,CC(=O)CC(=O)O,NR-ER,0.2818,BAJO,0.0446,0.0099,0.0171,0.0022,0.2818,0.0224,0.0002,0.1706,0.0002,0.0038,0.0091,0.0003
CID_106,106,Carbamates,NC(COP(=O)(O)O)C(=O)O,NR-ER,0.1637,BAJO,0.0422,0.0165,0.0285,0.0005,0.1637,0.0149,0.0004,0.1306,0.0006,0.0056,0.0069,0.001
CID_107,107,Carbamates,O=C(O)CCc1ccccc1,NR-ER,0.236,BAJO,0.0673,0.0061,0.0185,0.0002,0.236,0.0228,0.0046,0.0656,0.0001,0.0073,0.0112,0.0001
CID_137,137,Carbamates,NCC(=O)CCC(=O)O,SR-ARE,0.2068,BAJO,0.0034,0.0036,0.0472,0.0019,0.1351,0.0057,0.0001,0.2068,0.0004,0.007,0.0127,0.0005
CID_174,174,Carbamates,OCCO,NR-ER,0.275,BAJO,0.0611,0.0536,0.0069,0.0039,0.275,0.0235,0.0025,0.1768,0.0009,0.0035,0.0097,0.0008
CID_175,175,Carbamates,CC(=O)[O-],NR-ER,0.3642,BAJO,0.014,0.002,0.02,0.0033,0.3642,0.0246,0.0,0.0906,0.0001,0.0052,0.0099,0.0007
CID_176,176,Carbamates,CC(=O)O,NR-ER,0.3312,BAJO,0.0358,0.0022,0.015,0.0008,0.3312,0.0214,0.0,0.0674,0.0,0.0052,0.0052,0.0002
CID_177,177,Carbamates,CC=O,NR-Aromatase,0.8865,ALTO,0.0091,0.0075,0.073,0.8865,0.2737,0.008,0.0008,0.219,0.0018,0.023,0.2155,0.0085
CID_190,190,Carbamates,Nc1ncnc2nc[nH]c12,NR-AhR,0.8336,ALTO,0.03,0.0027,0.8336,0.0175,0.2435,0.0115,0.0003,0.2864,0.036,0.8167,0.0815,0.0037
CID_238,238,Carbamates,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,NR-ER,0.2561,BAJO,0.0043,0.0003,0.0262,0.0071,0.2561,0.0109,0.0004,0.196,0.0021,0.0152,0.0076,0.2404
CID_264,264,Carbamates,CCCC(=O)O,NR-ER,0.2664,BAJO,0.0429,0.0015,0.0087,0.0005,0.2664,0.0216,0.0006,0.0491,0.0,0.0064,0.0059,0.0
CID_275,275,Carbamates,NC(N)=NOCCC(N)C(=O)O,NR-AhR,0.1835,BAJO,0.051,0.0088,0.1835,0.0008,0.1577,0.0061,0.0001,0.1018,0.0003,0.0413,0.0083,0.0002
CID_284,284,Carbamates,O=CO,NR-ER,0.3488,BAJO,0.0312,0.0271,0.0248,0.0796,0.3488,0.0358,0.001,0.308,0.0032,0.023,0.0769,0.0198
CID_307,307,Carbamates,O=CC=Cc1ccccc1,NR-AR-LBD,0.8431,ALTO,0.7839,0.8431,0.0287,0.0031,0.5214,0.0638,0.0011,0.4441,0.0056,0.0556,0.0463,0.0041
CID_308,308,Carbamates,OCC=Cc1ccccc1,NR-AR-LBD,0.4944,MODERADO,0.3749,0.4944,0.0104,0.0024,0.3622,0.0628,0.0009,0.2852,0.0005,0.036,0.0317,0.0021
CID_314,314,Carbamates,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,SR-p53,0.7675,ALTO,0.0093,0.0021,0.019,0.0101,0.4137,0.0539,0.0039,0.222,0.0166,0.0437,0.0118,0.7675
CID_317,317,Carbamates,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,NR-ER,0.1607,BAJO,0.0094,0.0002,0.0071,0.003,0.1607,0.0015,0.0,0.1302,0.0002,0.0025,0.0015,0.0526
CID_322,322,Carbamates,O=C(O)C=Cc1ccc(O)cc1,NR-AR,0.6141,MODERADO,0.6141,0.3007,0.0619,0.0008,0.4658,0.1616,0.0022,0.4128,0.0048,0.0247,0.0292,0.0033
CID_346,346,Carbamates,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,NR-ER,0.4379,MODERADO,0.4063,0.0199,0.044,0.0018,0.4379,0.1076,0.0012,0.0674,0.0011,0.0043,0.0206,0.0028
CID_363,363,Carbamates,NCC=O,NR-Aromatase,0.4005,MODERADO,0.0067,0.018,0.0582,0.4005,0.142,0.0024,0.0004,0.2013,0.0024,0.0191,0.0935,0.0098
CID_402,402,Carbamates,S,NR-ER,0.1109,BAJO,0.0003,0.0,0.0025,0.0042,0.1109,0.0001,0.0,0.0229,0.0,0.0633,0.0019,0.0
CID_421,421,Carbamates,O=C(O)CCCCC(S)CCS,SR-ARE,0.2761,BAJO,0.0074,0.0036,0.0413,0.0013,0.1908,0.0416,0.1732,0.2761,0.0227,0.0182,0.0155,0.0267
CID_423,423,Carbamates,CC(=O)CC(N)C(=O)O,NR-ER,0.2717,BAJO,0.0498,0.0174,0.1178,0.0034,0.2717,0.0164,0.0001,0.1097,0.0002,0.0044,0.0124,0.0002
CID_449,449,Carbamates,CC(O)(CCO)CC(=O)O,NR-ER,0.2908,BAJO,0.1832,0.1224,0.0105,0.002,0.2908,0.0603,0.001,0.1865,0.0003,0.005,0.0152,0.0006
CID_460,460,Carbamates,COc1ccccc1O,NR-ER,0.1188,BAJO,0.008,0.0014,0.0669,0.0009,0.1188,0.0053,0.0021,0.0424,0.0004,0.0379,0.02,0.0001
CID_464,464,Carbamates,O=C(O)CNC(=O)c1ccccc1,NR-ER,0.2448,BAJO,0.0873,0.0018,0.0343,0.0002,0.2448,0.0137,0.002,0.062,0.0005,0.0123,0.0052,0.0001
CID_527,527,Carbamates,CCC=O,NR-Aromatase,0.3062,BAJO,0.0093,0.0188,0.0314,0.3062,0.2431,0.023,0.0232,0.1257,0.006,0.0363,0.0969,0.0089
CID_546,546,Carbamates,O=C(O)CP(=O)(O)O,SR-ARE,0.3628,BAJO,0.0277,0.029,0.017,0.0012,0.1892,0.0592,0.0014,0.3628,0.0018,0.0116,0.0181,0.0039
CID_586,586,Carbamates,CN(CC(=O)O)C(=N)N,SR-ARE,0.1278,BAJO,0.0221,0.0022,0.0677,0.0002,0.1252,0.0066,0.0004,0.1278,0.0003,0.0851,0.008,0.0003
CID_588,588,Carbamates,CN1CC(=O)N=C1N,NR-ER,0.0936,BAJO,0.0028,0.0001,0.0139,0.0,0.0936,0.0002,0.0,0.0378,0.0,0.007,0.0009,0.0
CID_595,595,Carbamates,NC(CSSCC(N)C(=O)O)C(=O)O,NR-AR-LBD,0.6358,MODERADO,0.4692,0.6358,0.1057,0.0055,0.3711,0.2419,0.0097,0.4435,0.0524,0.041,0.0463,0.0504
CID_596,596,Carbamates,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,SR-p53,0.9597,ALTO,0.0114,0.0026,0.1882,0.1757,0.4146,0.095,0.0142,0.5643,0.0554,0.1838,0.1211,0.9597
CID_3,3,Triazines,O=C(O)C1=CC=CC(O)C1O,SR-ARE,0.1355,BAJO,0.0373,0.0032,0.0195,0.0006,0.1126,0.0038,0.0004,0.1355,0.0002,0.0146,0.0073,0.0005
CID_16,16,Triazines,O=C1CCCCCNC(=O)CCCCCN1,SR-HSE,0.0977,BAJO,0.0007,0.0001,0.0454,0.0004,0.0882,0.0036,0.0003,0.0433,0.0001,0.0977,0.0273,0.0001
CID_17,17,Triazines,O=C(O)C1=NC(C(=O)O)CC=C1,NR-ER,0.0972,BAJO,0.0097,0.0004,0.024,0.0006,0.0972,0.0015,0.0001,0.0858,0.0001,0.0071,0.0052,0.0003
CID_19,19,Triazines,O=C(O)c1cccc(O)c1O,SR-ARE,0.3675,BAJO,0.2548,0.0618,0.3602,0.0101,0.2961,0.1455,0.0582,0.3675,0.0061,0.1123,0.2073,0.0148
CID_20,20,Triazines,O=C(O)CCc1cccc(O)c1O,NR-ER,0.3027,BAJO,0.1683,0.0257,0.2633,0.004,0.3027,0.1331,0.0534,0.2805,0.0021,0.046,0.1524,0.0066
CID_22,22,Triazines,CC(=O)C(C)(O)C(=O)O,NR-ER,0.1868,BAJO,0.0195,0.0073,0.0069,0.0001,0.1868,0.0105,0.0001,0.0956,0.0001,0.0016,0.0046,0.0002
CID_30,30,Triazines,NC(=CC=CC=O)C(=O)O,NR-AR,0.8053,ALTO,0.8053,0.6662,0.0633,0.0022,0.3719,0.1044,0.0018,0.6544,0.0174,0.0678,0.0279,0.0081
CID_32,32,Triazines,O=C(O)C=CC=C(C(=O)O)C(=O)O,SR-ARE,0.8364,ALTO,0.3535,0.4138,0.0351,0.004,0.391,0.3279,0.0084,0.8364,0.0712,0.0771,0.0385,0.0273
CID_36,36,Triazines,CC(C)C(C(=O)O)C(O)C(=O)O,NR-ER,0.28,BAJO,0.0242,0.0114,0.0586,0.0038,0.28,0.0536,0.0011,0.1954,0.0008,0.0028,0.031,0.0007
