compuesto,cid,familia,smiles,tarea_critica,prob_max,alerta,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-AtAD5,SR-HSE,SR-MMP,SR-p53
CID_67,67,Triazines,O=C(O)C(=O)C(O)C(O)C(=O)CO,SR-ARE,0.4068,MODERADO,0.0253,0.0597,0.0336,0.0027,0.1637,0.0262,0.0038,0.4068,0.0047,0.0039,0.0205,0.0018
CID_71,71,Triazines,O=C(O)CCCC(=O)C(=O)O,NR-ER,0.2016,BAJO,0.0072,0.002,0.0158,0.0013,0.2016,0.0254,0.0007,0.1981,0.0004,0.0049,0.0104,0.0007
CID_72,72,Triazines,O=C(O)c1ccc(O)c(O)c1,NR-ER,0.3941,BAJO,0.3622,0.0883,0.2853,0.0062,0.3941,0.1488,0.0142,0.3179,0.0066,0.0463,0.0771,0.0076
CID_85,85,Triazines,C[N+](C)(C)CC(O)CC(=O)O,NR-ER,0.1847,BAJO,0.0158,0.0006,0.0022,0.0,0.1847,0.0035,0.0,0.0529,0.0,0.0001,0.0004,0.0
CID_86,86,Triazines,Nc1c(O)cccc1C(=O)O,NR-AhR,0.7035,ALTO,0.1663,0.0364,0.7035,0.023,0.3398,0.1209,0.104,0.4201,0.0251,0.1808,0.3482,0.0464
CID_87,87,Triazines,CC(CO)C(=O)O,NR-ER,0.4192,MODERADO,0.3048,0.0978,0.021,0.001,0.4192,0.0756,0.0002,0.1513,0.0001,0.0015,0.0103,0.0004
CID_102,102,Triazines,OCc1cccc(O)c1,NR-ER,0.3612,BAJO,0.0644,0.0801,0.0558,0.0019,0.3612,0.1925,0.0016,0.2095,0.0003,0.0126,0.1408,0.0032
CID_111,111,Triazines,NC(=O)NCCC(=O)O,NR-ER,0.3213,BAJO,0.1219,0.0326,0.0455,0.0016,0.3213,0.0232,0.0001,0.1285,0.0002,0.0185,0.0112,0.0006
CID_118,118,Triazines,NCCCC=O,SR-ARE,0.2754,BAJO,0.0183,0.1215,0.074,0.1422,0.1413,0.0091,0.035,0.2754,0.0984,0.071,0.0686,0.1257
CID_126,126,Triazines,O=Cc1ccc(O)cc1,NR-ER,0.4044,MODERADO,0.0816,0.1275,0.0318,0.0016,0.4044,0.1332,0.008,0.3045,0.0138,0.0368,0.049,0.0087
CID_127,127,Triazines,O=C(O)Cc1ccc(O)cc1,NR-ER,0.28,BAJO,0.1118,0.0263,0.0356,0.0009,0.28,0.1542,0.0154,0.254,0.0012,0.0306,0.0538,0.0018
CID_133,133,Triazines,C[N+](C)(C)CCCC=O,NR-ER,0.1246,BAJO,0.0018,0.0001,0.0006,0.0001,0.1246,0.0012,0.0,0.0233,0.0,0.0001,0.0002,0.0
CID_135,135,Triazines,O=C(O)c1ccc(O)cc1,NR-ER,0.3631,BAJO,0.2109,0.0232,0.0582,0.0007,0.3631,0.0713,0.0018,0.1508,0.0008,0.0097,0.017,0.0005
CID_138,138,Triazines,NCCCCC(=O)O,NR-ER,0.1815,BAJO,0.0223,0.0042,0.1673,0.0077,0.1815,0.0125,0.0007,0.1123,0.0007,0.031,0.0232,0.001
CID_167,167,Triazines,c1ncc2c(n1)=NCCN=2,NR-AhR,0.0659,BAJO,0.001,0.0,0.0659,0.0026,0.0634,0.0001,0.0,0.0362,0.0001,0.0213,0.0023,0.0
CID_179,179,Triazines,CC(=O)C(C)O,NR-ER,0.5198,MODERADO,0.3854,0.1722,0.0365,0.0014,0.5198,0.2315,0.0002,0.1324,0.0003,0.003,0.0214,0.0014
CID_180,180,Triazines,CC(C)=O,NR-ER,0.2499,BAJO,0.0177,0.004,0.0267,0.0019,0.2499,0.0179,0.0001,0.076,0.0002,0.0483,0.0121,0.0005
CID_191,191,Triazines,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,SR-p53,0.7909,ALTO,0.0175,0.0008,0.2827,0.1629,0.3737,0.0363,0.0044,0.467,0.0225,0.1172,0.0987,0.7909
CID_199,199,Triazines,NCCCCN=C(N)N,SR-HSE,0.6225,MODERADO,0.0047,0.0011,0.2752,0.0033,0.1056,0.0059,0.0003,0.1279,0.001,0.6225,0.0262,0.0078
CID_206,206,Triazines,OCC1OC(O)C(O)C(O)C1O,NR-ER,0.2622,BAJO,0.1537,0.0172,0.0065,0.0013,0.2622,0.0272,0.0017,0.059,0.0004,0.0037,0.0072,0.0014
CID_207,207,Triazines,NC(CCCC=O)C(=O)O,NR-ER,0.2508,BAJO,0.0909,0.1828,0.0626,0.0126,0.2508,0.0375,0.0191,0.237,0.0249,0.0162,0.0375,0.0096
CID_208,208,Triazines,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,NR-ER,0.2241,BAJO,0.0199,0.002,0.0039,0.0001,0.2241,0.0208,0.0008,0.0242,0.0003,0.0057,0.0036,0.0021
CID_66,66,Azole_fungicides,Oc1cc(Cl)ccc1Cl,SR-MMP,0.9088,ALTO,0.0073,0.0023,0.251,0.0536,0.1629,0.1025,0.0288,0.5516,0.0005,0.2337,0.9088,0.067
CID_144,144,Azole_fungicides,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,NR-AhR,0.8259,ALTO,0.1898,0.0053,0.8259,0.0057,0.4144,0.0627,0.0084,0.2646,0.0429,0.049,0.1204,0.009
CID_178,178,Azole_fungicides,CC(N)=O,NR-ER,0.1186,BAJO,0.0022,0.0002,0.0978,0.001,0.1186,0.0008,0.0,0.0323,0.0,0.0278,0.0034,0.0
CID_196,196,Azole_fungicides,O=C(O)CCCCC(=O)O,NR-ER,0.3056,BAJO,0.0189,0.0015,0.0286,0.0042,0.3056,0.1318,0.0053,0.1498,0.0007,0.0139,0.0343,0.0015
CID_198,198,Azole_fungicides,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,NR-ER,0.299,BAJO,0.0704,0.002,0.0167,0.0027,0.299,0.0127,0.0003,0.0823,0.001,0.0068,0.0032,0.0871
CID_241,241,Azole_fungicides,c1ccccc1,NR-ER,0.1052,BAJO,0.0319,0.0004,0.0018,0.0,0.1052,0.0005,0.0,0.0055,0.0,0.0034,0.0009,0.0
CID_253,253,Azole_fungicides,O=C(O)CCCCC1SCC2NC(=O)NC21,NR-ER,0.4647,MODERADO,0.0745,0.0121,0.0336,0.007,0.4647,0.1272,0.0015,0.2684,0.0023,0.0293,0.0228,0.3498
CID_262,262,Azole_fungicides,CC(O)C(C)O,NR-ER,0.4181,MODERADO,0.0787,0.0107,0.0172,0.0002,0.4181,0.0977,0.0006,0.0472,0.0001,0.0005,0.0084,0.0001
CID_263,263,Azole_fungicides,CCCCO,NR-ER,0.2178,BAJO,0.0262,0.0147,0.0052,0.0064,0.2178,0.0089,0.0013,0.0735,0.0002,0.0177,0.0186,0.0007
CID_281,281,Azole_fungicides,[C-]#[O+],NR-ER,0.3001,BAJO,0.0144,0.0057,0.0024,0.0231,0.3001,0.0058,0.0,0.1102,0.0,0.0005,0.0099,0.0001
CID_288,288,Azole_fungicides,C[N+](C)(C)CC(O)CC(=O)[O-],NR-ER,0.2129,BAJO,0.0114,0.0004,0.0027,0.0,0.2129,0.0034,0.0,0.0442,0.0,0.0001,0.0005,0.0
CID_294,294,Azole_fungicides,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,NR-AR,0.4367,MODERADO,0.4367,0.0406,0.0091,0.0037,0.3691,0.0911,0.0029,0.0645,0.0008,0.0043,0.0123,0.0041
CID_300,300,Azole_fungicides,O=C(O)CCl,SR-ARE,0.4255,MODERADO,0.0053,0.0042,0.0052,0.0016,0.2084,0.0289,0.0005,0.4255,0.0009,0.006,0.0103,0.006
CID_303,303,Azole_fungicides,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,NR-AR,0.4591,MODERADO,0.4591,0.126,0.1424,0.01,0.3571,0.1835,0.0031,0.2277,0.0007,0.0289,0.0991,0.0058
CID_305,305,Azole_fungicides,C[N+](C)(C)CCO,NR-ER,0.1409,BAJO,0.0024,0.0,0.0004,0.0001,0.1409,0.0013,0.0,0.0242,0.0,0.0001,0.0002,0.0
CID_311,311,Azole_fungicides,O=C(O)CC(O)(CC(=O)O)C(=O)O,SR-ARE,0.3997,BAJO,0.0158,0.0286,0.0231,0.0031,0.1861,0.0447,0.001,0.3997,0.0012,0.0087,0.0333,0.0021
CID_312,312,Azole_fungicides,[Cl-],NR-ER,0.2524,BAJO,0.0078,0.0006,0.0002,0.0007,0.2524,0.0006,0.0,0.0225,0.0,0.0003,0.0006,0.0
CID_356,356,Azole_fungicides,CCCCCCCC,NR-AR,0.493,MODERADO,0.493,0.0013,0.0012,0.0006,0.2203,0.0045,0.0005,0.0154,0.0,0.0382,0.0037,0.0
CID_359,359,Azole_fungicides,Oc1cc(O)cc(O)c1,SR-ARE,0.5882,MODERADO,0.1483,0.1595,0.5823,0.049,0.2578,0.1716,0.1158,0.5882,0.0273,0.2253,0.5127,0.0715
CID_370,370,Azole_fungicides,O=C(O)c1cc(O)c(O)c(O)c1,SR-ARE,0.5412,MODERADO,0.1794,0.0407,0.4373,0.0086,0.396,0.2825,0.0191,0.5412,0.0093,0.0942,0.2603,0.0738
CID_260,260,Pyrethroids,Br,NR-ER,0.1329,BAJO,0.0019,0.0001,0.0003,0.0006,0.1329,0.0001,0.0,0.0145,0.0,0.0006,0.0006,0.0
CID_338,338,Pyrethroids,O=C(O)c1ccccc1O,NR-ER,0.1794,BAJO,0.0928,0.0097,0.0661,0.0006,0.1794,0.0127,0.0013,0.0649,0.0002,0.0189,0.0167,0.0001
CID_453,453,Pyrethroids,OCC(O)C(O)C(O)C(O)CO,NR-ER,0.2447,BAJO,0.0032,0.0014,0.0142,0.0001,0.2447,0.0253,0.0002,0.0662,0.0001,0.0001,0.0035,0.0
CID_700,700,Pyrethroids,NCCO,NR-ER,0.1867,BAJO,0.0314,0.0238,0.0207,0.023,0.1867,0.0029,0.0002,0.113,0.0002,0.007,0.019,0.0006
CID_702,702,Pyrethroids,CCO,NR-ER,0.3698,BAJO,0.2494,0.1221,0.0316,0.0228,0.3698,0.0883,0.0043,0.1015,0.0009,0.0121,0.0363,0.0017
CID_712,712,Pyrethroids,C=O,NR-AhR,0.0955,BAJO,0.0001,0.0,0.0955,0.0572,0.0887,0.0001,0.0,0.074,0.0,0.0341,0.0193,0.0001
CID_727,727,Pyrethroids,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,NR-ER-LBD,0.7267,ALTO,0.2418,0.0082,0.0647,0.0198,0.7006,0.7267,0.0005,0.0737,0.001,0.0059,0.3503,0.0032
CID_753,753,Pyrethroids,OCC(O)CO,NR-ER,0.2637,BAJO,0.0242,0.0113,0.0061,0.0001,0.2637,0.0304,0.0004,0.1071,0.0001,0.0002,0.0027,0.0001
CID_756,756,Pyrethroids,O=CCO,SR-ARE,0.3257,BAJO,0.0313,0.0971,0.0115,0.0571,0.2384,0.0266,0.0113,0.3257,0.014,0.0173,0.0397,0.0341
CID_767,767,Pyrethroids,O=C(O)O,NR-ER,0.4015,MODERADO,0.0536,0.0017,0.0062,0.0002,0.4015,0.0534,0.0,0.1242,0.0,0.0026,0.0052,0.0004
CID_783,783,Pyrethroids,[HH],SR-HSE,0.5471,MODERADO,0.0806,0.2761,0.3471,0.1489,0.2435,0.2129,0.2545,0.4521,0.1452,0.5471,0.2489,0.1906
CID_784,784,Pyrethroids,OO,NR-ER,0.2717,BAJO,0.036,0.0325,0.0182,0.0093,0.2717,0.045,0.0021,0.1853,0.0017,0.0383,0.0218,0.0085
CID_787,787,Pyrethroids,NO,NR-ER,0.1045,BAJO,0.0042,0.0022,0.0852,0.0177,0.1045,0.001,0.0,0.0689,0.0002,0.037,0.0176,0.0007
CID_887,887,Pyrethroids,CO,NR-ER,0.3379,BAJO,0.1417,0.0247,0.0176,0.0258,0.3379,0.0316,0.001,0.0847,0.0003,0.0089,0.0205,0.0005
CID_892,892,Pyrethroids,OC1C(O)C(O)C(O)C(O)C1O,NR-ER,0.1962,BAJO,0.0217,0.0009,0.0051,0.0002,0.1962,0.0062,0.0001,0.0257,0.0,0.0038,0.0038,0.0001
CID_935,935,Pyrethroids,[Ni],NR-ER,0.1403,BAJO,0.0007,0.0004,0.0024,0.0043,0.1403,0.0007,0.0002,0.0414,0.0001,0.0146,0.0038,0.0001
CID_945,945,Pyrethroids,N=O,NR-AhR,0.1217,BAJO,0.0007,0.0002,0.1217,0.0463,0.1208,0.0007,0.0,0.1017,0.0001,0.0344,0.0324,0.0012
CID_947,947,Pyrethroids,N#N,NR-ER,0.1119,BAJO,0.0041,0.0039,0.0329,0.0061,0.1119,0.0011,0.0,0.065,0.0001,0.0373,0.0159,0.0002
CID_962,962,Pyrethroids,O,NR-ER,0.1093,BAJO,0.0009,0.0002,0.0017,0.0031,0.1093,0.0002,0.0,0.0264,0.0,0.0129,0.0013,0.0
CID_977,977,Pyrethroids,O=O,SR-ARE,0.3067,BAJO,0.0003,0.0017,0.0304,0.0634,0.0869,0.0033,0.0006,0.3067,0.0046,0.1352,0.0681,0.1206
CID_992,992,Pyrethroids,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,SR-MMP,0.9623,ALTO,0.0693,0.0453,0.9388,0.5542,0.1836,0.2423,0.2894,0.9378,0.3092,0.9367,0.9623,0.9369
CID_996,996,Pyrethroids,Oc1ccccc1,NR-ER,0.3882,BAJO,0.0656,0.049,0.0682,0.0044,0.3882,0.2359,0.001,0.2076,0.0006,0.0618,0.2819,0.0034
CID_1004,1004,Pyrethroids,O=P(O)(O)O,NR-ER,0.2661,BAJO,0.0034,0.0017,0.0022,0.0,0.2661,0.0537,0.0,0.0645,0.0001,0.007,0.0035,0.0021
CID_1023,1023,Pyrethroids,O=P(O)(O)OP(=O)(O)O,NR-ER,0.111,BAJO,0.0004,0.0019,0.0026,0.0003,0.111,0.0186,0.0004,0.1048,0.0009,0.058,0.0068,0.0161
CID_1030,1030,Pyrethroids,CC(O)CO,NR-ER,0.4455,MODERADO,0.1544,0.0579,0.0241,0.0007,0.4455,0.1448,0.0005,0.1002,0.0002,0.001,0.0131,0.0004
CID_1031,1031,Pyrethroids,CCCO,NR-ER,0.3243,BAJO,0.1049,0.0626,0.0115,0.0096,0.3243,0.0491,0.0022,0.086,0.0004,0.009,0.027,0.0009
CID_1065,1065,Pyrethroids,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,NR-AhR,0.8241,ALTO,0.5526,0.0439,0.8241,0.4578,0.4794,0.2494,0.0011,0.3522,0.0268,0.1279,0.3353,0.0424
CID_1070,1070,Pyrethroids,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,SR-ARE,0.7663,ALTO,0.0062,0.0103,0.0212,0.3813,0.4755,0.6449,0.0713,0.7663,0.0287,0.706,0.6986,0.0732
CID_1084,1084,Pyrethroids,O=S([O-])([O-])=S,NR-ER,0.3067,BAJO,0.0004,0.0,0.0125,0.0015,0.3067,0.0027,0.0,0.0987,0.0,0.0004,0.0056,0.0001
CID_1110,1110,Pyrethroids,O=C(O)CCC(=O)O,NR-ER,0.3201,BAJO,0.015,0.003,0.0159,0.0029,0.3201,0.0358,0.0001,0.1834,0.0001,0.003,0.0144,0.0004
CID_1118,1118,Pyrethroids,O=S(=O)(O)O,NR-ER,0.2925,BAJO,0.0105,0.0067,0.0357,0.0054,0.2925,0.1111,0.0013,0.2151,0.0015,0.2078,0.0804,0.0546
CID_1130,1130,Pyrethroids,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,NR-ER,0.1293,BAJO,0.0038,0.0001,0.0282,0.0004,0.1293,0.0015,0.0,0.0538,0.0,0.0007,0.0016,0.0001
CID_1140,1140,Pyrethroids,Cc1ccccc1,NR-ER,0.3548,BAJO,0.1907,0.0015,0.0033,0.0002,0.3548,0.0647,0.0002,0.0133,0.0,0.0047,0.0159,0.0
CID_1143,1143,Pyrethroids,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,NR-ER,0.3428,BAJO,0.3377,0.0361,0.0077,0.004,0.3428,0.0754,0.0053,0.0665,0.0011,0.0042,0.0111,0.0035
CID_1176,1176,Pyrethroids,NC(N)=O,NR-AhR,0.274,BAJO,0.0033,0.0002,0.274,0.0003,0.0963,0.001,0.0,0.0424,0.0,0.2429,0.0044,0.0
CID_1326,1326,Pyrethroids,Cn1c(=O)c2ncn(C)c2n(C)c1=O,SR-ARE,0.0966,BAJO,0.0041,0.0001,0.0636,0.0006,0.0909,0.0005,0.0,0.0966,0.0004,0.0237,0.0031,0.0002
CID_1474,1474,Pyrethroids,c1ccc(-c2ccccn2)nc1,NR-ER,0.1276,BAJO,0.0184,0.0001,0.0373,0.0009,0.1276,0.0007,0.0001,0.014,0.0002,0.0061,0.0044,0.0
CID_1982,1982,Pyrethroids,COP(=O)(NC(C)=O)SC,NR-ER,0.1873,BAJO,0.0041,0.0016,0.0482,0.0061,0.1873,0.0042,0.0001,0.053,0.0002,0.014,0.0061,0.0001
CID_34,34,Herbicides,OCCCl,NR-ER,0.214,BAJO,0.003,0.0043,0.0011,0.0083,0.214,0.0017,0.0004,0.1923,0.0002,0.0034,0.007,0.0028
CID_240,240,Herbicides,O=Cc1ccccc1,NR-ER,0.3065,BAJO,0.0734,0.183,0.0091,0.0008,0.3065,0.0173,0.0029,0.1695,0.004,0.0526,0.0195,0.0027
CID_259,259,Herbicides,[Br-],NR-ER,0.1778,BAJO,0.0039,0.0,0.0001,0.0005,0.1778,0.0001,0.0,0.0164,0.0,0.0001,0.0002,0.0
CID_456,456,Herbicides,NC(=O)NC(=O)C(=O)O,NR-ER,0.1782,BAJO,0.0281,0.0029,0.0406,0.0003,0.1782,0.0034,0.0,0.123,0.0002,0.0228,0.0044,0.0002
CID_807,807,Herbicides,II,NR-ER,0.1821,BAJO,0.0084,0.0035,0.001,0.0009,0.1821,0.0007,0.0,0.0336,0.0,0.0096,0.0018,0.0
CID_949,949,Herbicides,CN(C)c1ccccc1,NR-ER,0.1738,BAJO,0.0147,0.0018,0.1723,0.0016,0.1738,0.0043,0.0,0.041,0.0002,0.0034,0.0386,0.0001
CID_1003,1003,Herbicides,O=P([O-])(O)O,NR-ER,0.489,MODERADO,0.01,0.0059,0.0023,0.0001,0.489,0.2174,0.0,0.073,0.0001,0.0059,0.0083,0.0034
CID_1049,1049,Herbicides,c1ccncc1,NR-ER,0.0999,BAJO,0.0087,0.0002,0.0083,0.0004,0.0999,0.0002,0.0,0.0089,0.0,0.0065,0.0014,0.0
CID_1133,1133,Herbicides,O=C(O)CS,SR-ARE,0.359,BAJO,0.0014,0.0009,0.0126,0.0017,0.1631,0.0187,0.0005,0.359,0.0009,0.0093,0.0141,0.0128
CID_1567,1567,Herbicides,OCCS,NR-ER,0.1806,BAJO,0.0012,0.0019,0.0013,0.0041,0.1806,0.0014,0.0006,0.1552,0.0003,0.0045,0.0047,0.0042
CID_1639,1639,Herbicides,Nc1ncn[nH]1,NR-AhR,0.2149,BAJO,0.0038,0.0004,0.2149,0.0039,0.1555,0.0006,0.0,0.0691,0.0004,0.2135,0.0042,0.0
CID_1988,1988,Herbicides,CCOCN(C(=O)CCl)c1c(C)cccc1CC,SR-ARE,0.7878,ALTO,0.004,0.0049,0.0558,0.7654,0.1458,0.0711,0.0807,0.7878,0.0101,0.6782,0.7124,0.2062
CID_2140,2140,Herbicides,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,NR-ER,0.2302,BAJO,0.0608,0.0014,0.1761,0.0005,0.2302,0.0335,0.0019,0.1181,0.0003,0.019,0.0129,0.0011
CID_2265,2265,Herbicides,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,NR-AhR,0.7773,ALTO,0.0329,0.0286,0.7773,0.0864,0.3493,0.1418,0.002,0.5096,0.0301,0.2291,0.273,0.0191
CID_2519,2519,Herbicides,Cn1c(=O)c2c(ncn2C)n(C)c1=O,NR-ER,0.0954,BAJO,0.0056,0.0001,0.0459,0.0006,0.0954,0.0004,0.0,0.0825,0.0003,0.0175,0.0023,0.0001
CID_2537,2537,Herbicides,CC12CCC(CC1=O)C2(C)C,NR-ER,0.1223,BAJO,0.0012,0.0001,0.0008,0.0001,0.1223,0.0009,0.0,0.033,0.0,0.0002,0.0008,0.0
CID_2576,2576,Herbicides,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,NR-ER,0.1236,BAJO,0.0006,0.0003,0.0046,0.0001,0.1236,0.0069,0.0004,0.0318,0.0002,0.0518,0.0039,0.0005
CID_2680,2680,Herbicides,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,NR-ER,0.4514,MODERADO,0.4395,0.1155,0.1455,0.0549,0.4514,0.205,0.3978,0.2378,0.0709,0.1355,0.0961,0.0228
CID_2780,2780,Herbicides,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,NR-AhR,0.4651,MODERADO,0.1928,0.0188,0.4651,0.0281,0.1903,0.0072,0.0008,0.1527,0.0043,0.0229,0.0646,0.0227
CID_3016,3016,Herbicides,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,SR-AtAD5,0.8868,ALTO,0.2701,0.0104,0.5735,0.0667,0.5681,0.0257,0.0098,0.2686,0.8868,0.0494,0.1033,0.1236
CID_3289,3289,Herbicides,CCCSP(=O)(OCC)SCCC,NR-ER,0.3876,BAJO,0.0032,0.0018,0.2478,0.0198,0.3876,0.0229,0.0003,0.0488,0.0005,0.0084,0.0199,0.0003
CID_3440,3440,Herbicides,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NR-AhR,0.4839,MODERADO,0.0493,0.0035,0.4839,0.0762,0.2394,0.0303,0.0005,0.4663,0.0016,0.0795,0.1657,0.0267
CID_3559,3559,Herbicides,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,SR-ARE,0.1258,BAJO,0.0153,0.0012,0.0635,0.0047,0.0692,0.0013,0.004,0.1258,0.01,0.025,0.0194,0.0054
CID_3715,3715,Herbicides,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,NR-PPAR-gamma,0.9744,ALTO,0.1662,0.0169,0.1373,0.0062,0.2528,0.1245,0.9744,0.3299,0.0593,0.0462,0.0619,0.0154
CID_4064,4064,Herbicides,CCCC(C)(COC(N)=O)COC(N)=O,SR-HSE,0.1503,BAJO,0.0002,0.0002,0.0055,0.0002,0.0846,0.0036,0.0002,0.0321,0.0001,0.1503,0.007,0.0008
CID_4510,4510,Herbicides,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],SR-ARE,0.5072,MODERADO,0.0017,0.0217,0.0895,0.0294,0.0896,0.0055,0.0117,0.5072,0.146,0.0196,0.0541,0.0328
CID_4581,4581,Herbicides,NCC(O)c1ccc(O)cc1,NR-ER,0.2367,BAJO,0.0272,0.005,0.051,0.0002,0.2367,0.0269,0.0007,0.0689,0.0004,0.0031,0.0123,0.0004
CID_4610,4610,Herbicides,NC1CCCCC1N,NR-ER,0.0476,BAJO,0.0015,0.0,0.0162,0.0012,0.0476,0.0001,0.0,0.009,0.0,0.0271,0.0035,0.0
CID_4756,4756,Herbicides,Nc1ccc(N=Nc2ccccc2)c(N)n1,NR-AhR,0.9928,ALTO,0.7642,0.1696,0.9928,0.8571,0.9403,0.865,0.5885,0.9475,0.9807,0.7026,0.9672,0.9092
CID_4781,4781,Herbicides,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,SR-MMP,0.8448,ALTO,0.3643,0.0331,0.7746,0.5184,0.3731,0.087,0.0815,0.6549,0.0603,0.2953,0.8448,0.4326
CID_4933,4933,Herbicides,CCC(=O)Nc1ccc(Cl)c(Cl)c1,NR-AhR,0.8369,ALTO,0.0847,0.0179,0.8369,0.0771,0.1866,0.012,0.0045,0.3494,0.0342,0.0535,0.3636,0.0398
CID_4965,4965,Herbicides,COc1ccc(C(=O)CBr)cc1,SR-AtAD5,0.851,ALTO,0.0178,0.0068,0.3786,0.0594,0.3895,0.0199,0.0229,0.4689,0.851,0.0998,0.0631,0.0396
