compound_name,pubchem_cid,smiles,family,source,is_mida,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_378,378,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1,Organophosphates,classification_hnid_4400064,False,CHEMBL24231,sqlite_smiles,ok,1,p-NITROPHENYLPHOSPHATE
CID_392,392,NCCCC(N)CC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL5222185,sqlite_smiles,ok,1,
CID_424,424,NC(CC(=O)O)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_470,470,NCCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL307931,sqlite_smiles,ok,1,
CID_499,499,O=C1CCC(C(=O)O)N1,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_504,504,O=C1CN=CN1,Organophosphates,classification_hnid_4400064,False,CHEMBL2447922,sqlite_smiles,ok,1,IMIDAZOLINONE
CID_529,529,O=C(O)COP(=O)(O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL47181,sqlite_smiles,ok,1,PHOSPHOGLYCOLIC ACID
CID_564,564,NCCCCCC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL1046,sqlite_smiles,ok,1,AMINOCAPROIC ACID
CID_594,594,NC(CS)C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL54943,sqlite_smiles,ok,1,
CID_602,602,CC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_611,611,NC(CCC(=O)O)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_614,614,O=C(O)C1CCCN1,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_617,617,NC(CO)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_637,637,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,Organophosphates,classification_hnid_4400064,False,CHEMBL280428,sqlite_smiles,ok,1,
CID_640,640,O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_655,655,CCOP(O)(=S)OCC,Organophosphates,classification_hnid_4400064,False,CHEMBL1232328,sqlite_smiles,ok,1,"O,O-DIETHYL S-HYDROGEN PHOSPHOROTHIOATE"
CID_660,660,O=C1CCc2ccccc2O1,Organophosphates,classification_hnid_4400064,False,CHEMBL89306,sqlite_smiles,ok,1,DIHYDROCOUMARIN
CID_668,668,O=C(CO)COP(=O)(O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL1161998,sqlite_smiles,ok,1,
CID_673,673,CN(C)CC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL1232274,sqlite_smiles,ok,1,
CID_713,713,NC=O,Organophosphates,classification_hnid_4400064,False,CHEMBL266160,sqlite_smiles,ok,1,FORMAMIDE
CID_724,724,O=C(O)C(O)COP(=O)(O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL87788,sqlite_smiles,ok,1,
CID_729,729,O=CC(O)COP(=O)(O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_738,738,NC(=O)CCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_745,745,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL100476,sqlite_smiles,ok,1,
CID_750,750,NCC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL773,sqlite_smiles,ok,1,GLYCINE
CID_773,773,NC(Cc1cnc[nH]1)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_778,778,NC(CCS)C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL310604,sqlite_smiles,ok,1,HOMOCYSTEINE
CID_779,779,NC(CCO)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_824,824,CCCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_825,825,O=C(O)C1CC(O)CN1,Organophosphates,classification_hnid_4400064,False,CHEMBL1213475,sqlite_smiles,ok,1,
CID_833,833,NC(=O)NCCCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_849,849,O=C(O)C1CCCCN1,Organophosphates,classification_hnid_4400064,False,CHEMBL308408,sqlite_smiles,ok,1,PIPECOLIC ACID
CID_854,854,O=CC(O)C(O)C(O)CO,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_9,9,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,Carbamates,classification_hnid_4400088,False,CHEMBL281435,sqlite_smiles,ok,1,
CID_59,59,O=C(O)C(CO)OP(=O)(O)O,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_96,96,CC(=O)CC(=O)O,Carbamates,classification_hnid_4400088,False,CHEMBL1230762,sqlite_smiles,ok,1,ACETOACETIC ACID
CID_106,106,NC(COP(=O)(O)O)C(=O)O,Carbamates,classification_hnid_4400088,False,CHEMBL180002,sqlite_smiles,ok,1,
CID_107,107,O=C(O)CCc1ccccc1,Carbamates,classification_hnid_4400088,False,CHEMBL851,sqlite_smiles,ok,1,PHENYL PROPIONIC ACID
CID_137,137,NCC(=O)CCC(=O)O,Carbamates,classification_hnid_4400088,False,CHEMBL601,sqlite_smiles,ok,1,AMINOLEVULINIC ACID
CID_174,174,OCCO,Carbamates,classification_hnid_4400088,False,CHEMBL457299,sqlite_smiles,ok,1,ETHYLENE GLYCOL
CID_175,175,CC(=O)[O-],Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_176,176,CC(=O)O,Carbamates,classification_hnid_4400088,False,CHEMBL539,sqlite_smiles,ok,1,ACETIC ACID
CID_177,177,CC=O,Carbamates,classification_hnid_4400088,False,CHEMBL170365,sqlite_smiles,ok,1,ACETALDEHYDE
CID_190,190,Nc1ncnc2nc[nH]c12,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_238,238,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_264,264,CCCC(=O)O,Carbamates,classification_hnid_4400088,False,CHEMBL14227,sqlite_smiles,ok,1,BUTYRIC ACID
CID_275,275,NC(N)=NOCCC(N)C(=O)O,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_284,284,O=CO,Carbamates,classification_hnid_4400088,False,CHEMBL116736,sqlite_smiles,ok,1,FORMIC ACID
CID_307,307,O=CC=Cc1ccccc1,Carbamates,classification_hnid_4400088,False,CHEMBL3187944,sqlite_smiles,ok,1,
CID_308,308,OCC=Cc1ccccc1,Carbamates,classification_hnid_4400088,False,CHEMBL3183153,sqlite_smiles,ok,1,
CID_314,314,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1,Carbamates,classification_hnid_4400088,False,CHEMBL296272,sqlite_smiles,ok,1,
CID_317,317,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_322,322,O=C(O)C=Cc1ccc(O)cc1,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_346,346,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,Carbamates,classification_hnid_4400088,False,CHEMBL79041,sqlite_smiles,ok,1,
CID_363,363,NCC=O,Carbamates,classification_hnid_4400088,False,CHEMBL296723,sqlite_smiles,ok,1,
CID_402,402,S,Carbamates,classification_hnid_4400088,False,CHEMBL1200739,sqlite_smiles,ok,1,HYDROGEN SULFIDE
CID_421,421,O=C(O)CCCCC(S)CCS,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_423,423,CC(=O)CC(N)C(=O)O,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_449,449,CC(O)(CCO)CC(=O)O,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_460,460,COc1ccccc1O,Carbamates,classification_hnid_4400088,False,CHEMBL13766,sqlite_smiles,ok,1,GUAIACOL
CID_464,464,O=C(O)CNC(=O)c1ccccc1,Carbamates,classification_hnid_4400088,False,CHEMBL461,sqlite_smiles,ok,1,HIPPURIC ACID
CID_527,527,CCC=O,Carbamates,classification_hnid_4400088,False,CHEMBL275626,sqlite_smiles,ok,1,PROPIONALDEHYDE
CID_546,546,O=C(O)CP(=O)(O)O,Carbamates,classification_hnid_4400088,False,CHEMBL50300,sqlite_smiles,ok,1,FOSFONET
CID_586,586,CN(CC(=O)O)C(=N)N,Carbamates,classification_hnid_4400088,False,CHEMBL283800,sqlite_smiles,ok,1,CREATINE
CID_588,588,CN1CC(=O)N=C1N,Carbamates,classification_hnid_4400088,False,,,not_found,0,
CID_595,595,NC(CSSCC(N)C(=O)O)C(=O)O,Carbamates,classification_hnid_4400088,False,CHEMBL366563,sqlite_smiles,ok,1,
CID_596,596,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,Carbamates,classification_hnid_4400088,False,CHEMBL78,sqlite_smiles,ok,1,
CID_3,3,O=C(O)C1=CC=CC(O)C1O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_16,16,O=C1CCCCCNC(=O)CCCCCN1,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_17,17,O=C(O)C1=NC(C(=O)O)CC=C1,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_19,19,O=C(O)c1cccc(O)c1O,Triazines,classification_hnid_4400160,False,CHEMBL1432,sqlite_smiles,ok,1,"2,3-DIHYDROXYBENZOIC ACID"
CID_20,20,O=C(O)CCc1cccc(O)c1O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_22,22,CC(=O)C(C)(O)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_30,30,NC(=CC=CC=O)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_32,32,O=C(O)C=CC=C(C(=O)O)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_36,36,CC(C)C(C(=O)O)C(O)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_38,38,CC(C)(CO)C(=O)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_39,39,CC1(C)COC(=O)C1=O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_40,40,OCC1OC(O)CC(O)C1O,Triazines,classification_hnid_4400160,False,CHEMBL1880349,sqlite_smiles,ok,1,2-DEOXY-D-GLUCOSE
CID_43,43,O=C(O)CCC(O)C(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL4870693,sqlite_smiles,ok,1,
CID_45,45,O=C(O)C(O)C(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL1794676,sqlite_smiles,ok,1,
CID_49,49,CC(C)C(=O)C(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL146554,sqlite_smiles,ok,1,2-Oxoisovalerate
CID_51,51,O=C(O)CCC(=O)C(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL1686,sqlite_smiles,ok,1,ALPHA-KETOGLUTARIC ACID
CID_58,58,CCC(=O)C(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL171246,sqlite_smiles,ok,1,
CID_61,61,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,Triazines,classification_hnid_4400160,False,CHEMBL144103,sqlite_smiles,ok,1,
CID_63,63,CC(N)CC(N)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_67,67,O=C(O)C(=O)C(O)C(O)C(=O)CO,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_71,71,O=C(O)CCCC(=O)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_72,72,O=C(O)c1ccc(O)c(O)c1,Triazines,classification_hnid_4400160,False,CHEMBL37537,sqlite_smiles,ok,1,PROTOCATECHUIC ACID
CID_85,85,C[N+](C)(C)CC(O)CC(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL1620698,sqlite_smiles,ok,1,
CID_86,86,Nc1c(O)cccc1C(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL445304,sqlite_smiles,ok,1,
CID_87,87,CC(CO)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_102,102,OCc1cccc(O)c1,Triazines,classification_hnid_4400160,False,CHEMBL3337531,sqlite_smiles,ok,1,
CID_111,111,NC(=O)NCCC(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL20962,sqlite_smiles,ok,1,
CID_118,118,NCCCC=O,Triazines,classification_hnid_4400160,False,CHEMBL2261442,sqlite_smiles,ok,1,4-AMINOBUTANAL
CID_126,126,O=Cc1ccc(O)cc1,Triazines,classification_hnid_4400160,False,CHEMBL14193,sqlite_smiles,ok,1,4-HYDROXYBENZALDEHYDE
CID_127,127,O=C(O)Cc1ccc(O)cc1,Triazines,classification_hnid_4400160,False,CHEMBL1772,sqlite_smiles,ok,1,
CID_133,133,C[N+](C)(C)CCCC=O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_135,135,O=C(O)c1ccc(O)cc1,Triazines,classification_hnid_4400160,False,CHEMBL441343,sqlite_smiles,ok,1,PARABEN
CID_138,138,NCCCCC(=O)O,Triazines,classification_hnid_4400160,False,CHEMBL284116,sqlite_smiles,ok,1,5-AMINOVALERIC ACID
CID_167,167,c1ncc2c(n1)=NCCN=2,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_179,179,CC(=O)C(C)O,Triazines,classification_hnid_4400160,False,CHEMBL3561873,sqlite_smiles,ok,1,
CID_180,180,CC(C)=O,Triazines,classification_hnid_4400160,False,CHEMBL14253,sqlite_smiles,ok,1,ACETONE
CID_191,191,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Triazines,classification_hnid_4400160,False,CHEMBL11909,sqlite_smiles,ok,1,
CID_199,199,NCCCCN=C(N)N,Triazines,classification_hnid_4400160,False,CHEMBL58343,sqlite_smiles,ok,1,AGMATINE
CID_206,206,OCC1OC(O)C(O)C(O)C1O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_207,207,NC(CCCC=O)C(=O)O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_208,208,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,Triazines,classification_hnid_4400160,False,,,not_found,0,
CID_66,66,Oc1cc(Cl)ccc1Cl,Azole_fungicides,classification_hnid_4400154,False,CHEMBL1565192,sqlite_smiles,ok,1,
CID_144,144,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,Azole_fungicides,classification_hnid_4400154,False,CHEMBL162789,sqlite_smiles,ok,1,
CID_178,178,CC(N)=O,Azole_fungicides,classification_hnid_4400154,False,CHEMBL16081,sqlite_smiles,ok,1,ACETAMIDE
CID_196,196,O=C(O)CCCCC(=O)O,Azole_fungicides,classification_hnid_4400154,False,CHEMBL1157,sqlite_smiles,ok,1,ADIPIC ACID
CID_198,198,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Azole_fungicides,classification_hnid_4400154,False,,,not_found,0,
CID_241,241,c1ccccc1,Azole_fungicides,classification_hnid_4400154,False,CHEMBL277500,sqlite_smiles,ok,1,BENZENE
