Modelo,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-AtAD5,SR-HSE,SR-MMP,SR-p53,Media AUC-ROC,Media AUPRC,Tiempo (s)
Random Forest,0.7013888888888888,0.8478033927794693,0.8312282406282892,0.7134587877704273,0.6489079102715466,0.650956901748041,0.7433421009370378,0.6906779661016949,0.7816901408450704,0.7330293819655522,0.8117384040880504,0.7655565511748308,0.7433148889332415,0.3864034110523067,196.36717629432678
MLP,0.7461240310077519,0.780252283601566,0.769937656869889,0.6959592347577328,0.657659386068477,0.6581525015069318,0.6048824593128391,0.6919619928094505,0.72447479489733,0.6923201621073962,0.7489927279874214,0.7145061728395062,0.7071019503138577,0.3135679515704436,4.169565200805664
SMILES2vec,0.7290051679586563,0.7869508481948673,0.8097724880576472,0.7182192025746469,0.701770956316411,0.7411844484629294,0.688558277165872,0.6726198814026241,0.701095461658842,0.7184599797365755,0.7784001572327044,0.6757516925527679,0.7268157134428787,0.3110184607709255,157.25954794883728
