fold,mean_auc,best_val_auc,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-AtAD5,SR-HSE,SR-MMP,SR-p53
1,0.7515486300296694,0.7713512138496257,0.6059240246406571,0.6657273379657991,0.7992009961886599,0.7940974758180879,0.6533938488519372,0.7573249513323166,0.7866174920969441,0.7458287307196272,0.811046882692974,0.7123346751006325,0.8228292208930021,0.8642579240553963
2,0.7829164846087195,0.8004684255852981,0.7174867378795053,0.7301038229220942,0.8502647058823528,0.8840648492672184,0.633817716876253,0.7369178786543265,0.8427684908660746,0.7722566363782424,0.8259204607396722,0.7421526340721534,0.8630051177217976,0.7962387640449438
3,0.8152908982273656,0.8272235931836652,0.9302492809204218,0.9530232558139535,0.8474822006472492,0.7681640806466599,0.7964822449793856,0.8676779616495929,0.664024587512132,0.7854192740926158,0.8271247240618101,0.746572539390219,0.7624651770993235,0.8348054519150232
4,0.7875042190959527,0.8157040705494162,0.7840495547812621,0.8519055509527754,0.8752747700073271,0.776,0.7034331452818361,0.8232886904761905,0.7437917222963952,0.7121892021561821,0.7952850877192983,0.7928750115815806,0.8262324577186038,0.7657254361799816
5,0.7887292591463941,0.8245822494726963,0.818256339259691,0.8871413226944914,0.8552077655490741,0.7367261172611727,0.7146116360534106,0.7914468344155844,0.7424543946932007,0.7577775880226568,0.7692105263157895,0.7648173041671757,0.8527326242558031,0.7743686570686807
